제목,줄거리,장르,연령등급,제작연도,평점,포스터 이미지,OTT
30일,"지성과 외모 그리고 찌질함까지 타고난, 정열. 능력과 커리어 그리고 똘기까지 타고난, 나라. 영화처럼 만나 영화같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내 완벽한 남남이 되기로 한다. 그러나! 완벽한 이별을 딱 D-30 앞둔 이들에게 찾아온 것은... 동반기억상실?",코미디,12세 이상 관람가,2022년,3.4,https://file.kinolights.com/m/content_poster/202310/04/01624d0e-6950-419c-847f-861efb0bd381.webp,"왓챠, 쿠팡플레이"
30일의 밤,"한 남자가 다른 버전의 삶으로 납치된다. 그는 자신이 살 수도 있었던 삶 속에서 진짜 가족에게 돌아갈 길을 찾고, 상상할 수 있는 가장 무서운 적인 자신으로부터 가족을 구하기 위해 힘겨운 여정을 시작한다.","드라마, 판타지",15세 이상 시청가,2024년,3.7,https://file.kinolights.com/m/content_poster/202405/09/f66d95ba-51af-445d-8a95-166c26d185cd.webp,티빙
365일,"줄거리 : 지중해의 람페두사섬에서 라우라에게 첫눈에 반한 마시모. 보스의 자리르 물려받은지 5년 후, 마시모를 라우라를 다시 만나고 그녀를 납치한다.

1분 정보 : 블란카 리핀스카의 소설 <365 Dni>를 원작으로 하는 영화. 동명의 소설은 총 3부작이다. 폴란....",드라마,청소년 관람불가,2020년,1.4,https://file.kinolights.com/m/content_poster/202307/12/8d64be29-4895-4d10-a769-31ca2b7b8766.webp,넷플릭스
365일: 오늘,"재결합하여 그 어느 때보다도 열렬한 관계를 이어가는 라우라와 마시모. 하지만 마시모의 가족 관계, 그리고 라우라의 마음을 얻으려는 수수께끼의 남자로 인해 삶이 복잡해진다.","드라마, 로맨스",청소년 관람불가,2022년,1.4,https://file.kinolights.com/m/content_poster/202307/12/d6b26b91-424e-4a6a-acab-dda9dfc815d2.webp,넷플릭스
4월은 너의 거짓말,엄마의 죽음으로 피아노를 칠 수 없게 된 천재 소년이 목표도 없이 지내던 중 친구의 들러리로 나가게 된 데이트로 인해 인생이 바뀌어 가는 이야기,"드라마, 코미디, 로맨스, 애니메이션",15세 이상 시청가,2014년,4.0,https://file.kinolights.com/m/content_poster/202309/06/d9e6f8c5-7fab-416e-a939-ec8012e0d2c1.webp,티빙
500일의 썸머,"운명적인 사랑이 나타나리라 믿는 청년 톰. 어느 날 회사에 새로운 비서로 나타난 썸머를 처음 보는 순간 대책 없이 사랑에 빠져들지만, 두 사람의 관계는 어딘지 어긋나고 삐걱거린다.","드라마, 코미디, 로맨스",15세 이상 관람가,2009년,3.8,https://file.kinolights.com/m/content_poster/202307/12/46cb9bba-9c2d-4bc4-b9de-82d0d5d93327.webp,쿠팡플레이
50가지 그림자: 해방,"줄거리 : 모든 과거를 잊고 서로에게 더 깊게 빠져든 아나스타샤와 크리스찬 그레이. 아나스타샤는 더욱 큰 자극을 원하고 상황은 역전된다.

1분 정보 : <50가지 그림자: 심연>의 속편이자, <50가지 그림자>의 마지막 영화다. 이번에도 OST 호평은 많으나, 영화는 악평이 많다.",로맨스,청소년 관람불가,2018년,2.1,https://file.kinolights.com/m/content_poster/202307/12/e4ef0d0e-25aa-44e1-af5e-41bccc635a27.webp,"넷플릭스, 왓챠, 쿠팡플레이"
6 웨이 투 다이,"북미 최대 규모의 마약 밀매업자 ‘선 다운’에게 가족을 잃은 ‘존 도’.
세상에서 가장 잔인한 복수를 위해 선 다운의 자유, 돈, 명성, 충성심, 사랑 그리고 목숨을 차례대로 빼앗는 복수를 계획한다.
이를 위해 존 도는 계획을 실행시켜줄 5명의 킬러를 고용하는데…

5명의 킬러가 선보이는 6가지 복수!
과연 존 도는 선 다운을 몰락시킬 수 있을 것인가?","액션, 스릴러",15세 이상 관람가,2015년,0.0,https://file.kinolights.com/m/content_poster/202307/12/3e93499a-24d5-4950-ba6b-43867e6ee9ea.webp,왓챠
"60일, 지정생존자",갑작스러운 국회의사당 폭탄 테러로 대통령을 잃은 대한민국에서 환경부 장관 박무진이 60일간의 대통령 권한대행으로 지정되면서 테러의 배후를 찾아내고 가족과 나라를 지키며 성장하는 이야기,"드라마, 스릴러",15세 이상 시청가,2019년,3.7,https://file.kinolights.com/m/content_poster/202307/12/775ace36-4c7e-45df-aaaa-8798d7b897ce.webp,"넷플릭스, 티빙"
6888 중앙우편대대,"제2차 세계대전 중, 미 육군의 유일한 흑인 여성 대대가 불가능에 가까운 임무를 수행한다. 타일러 페리가 실화를 바탕으로 연출한 드라마 영화.",드라마,12세 이상 관람가,2024년,3.3,https://file.kinolights.com/m/content_poster/202409/02/2b7bd92b-b859-4d4e-972a-bf6c57121b2f.webp,넷플릭스
6번 칸,고대 암각화를 보러 가기 위해 여행을 떠나는 핀란드 유학생 여자. 무르만스크 행 기차 ‘6번 칸’에서 만난 낯설고 무례한 남자. 거리를 두려는 여자 ----------- 가까워지려는 남자. 목적지에 다다를수록 두 사람의 관계는 미묘한 변화를 겪게 되고…,"드라마, 로맨스",15세 이상 관람가,2021년,3.6,https://file.kinolights.com/m/content_poster/202307/12/748729ee-c81a-495e-b360-0abe533762f4.webp,"왓챠, 쿠팡플레이, 티빙"
6시간 후 너는 죽는다,"정윤은 길을 가다, 처음 보는 준우에게서 “6시간 후 너는 죽는다”는 말을 듣는다. 정윤을 마주친 순간 그가 죽는 모습이 눈에 보였다는 것. 의심과 찜찜함 사이에서 정윤은 남은 6시간을 준우와 함께한다. 동행이 계속될수록 준우의 예지가 정윤에게만 해당되는 게 아니라, 쭉 이어지는 사건에 속해 있다는 사실이 드러나는데...",스릴러,15세 이상 관람가,2023년,1.8,https://file.kinolights.com/m/content_poster/202409/23/837e8559-bf70-49bf-b66e-d0c598f164aa.webp,"넷플릭스, 왓챠, 쿠팡플레이, 티빙"
